Feature,Score
director_Denise Di Novi,0.208195325284313
director_Dennie Gordon,0.40604799064185015
director_Dennis Dugan,0.6108352549919472
director_Dennis Gansel,0.014430364957747948
director_Dennis Hopper,0.35835968628357456
director_Dennis Iliadis,0.09337573694985422
director_Denzel Washington,0.3490830462651275
director_Deon Taylor,0.36843681371039866
director_Deran Sarafian,0.4272509365466959
director_Derek Cianfrance,0.465197463311903
director_Derrick Borte,0.263727278914733
director_Des McAnuff,0.13217543405845833
director_Desmond Davis,0.11005905032456348
director_Desmond Nakano,0.28218574162329274
director_Destin Daniel Cretton,0.1876760568860877
director_Dewey Nicks,0.2671930556950111
director_Dexter Fletcher,0.017335517323683894
director_Diane English,0.0807425449273415
director_Diane Keaton,0.07516092931825344
director_Dick Richards,0.2875527267178963
director_Diederik Van Rooijen,0.10334808929980747
director_Director,0.25130217553598017
director_Director X.,0.19377502917938036
director_Directors,0.42434758552914664
director_Dome Karukoski,0.2526253312421057
director_Dominic Sena,0.002251657037349645
director_Dominique Othenin-Girard,0.23911259193113799
director_Don Bluth,0.8779733339253879
director_Don Coscarelli,0.7836308075228441
director_Don Hall,8.782892605755947
director_Don Mancini,0.1752096815766455
director_Don McKellar,0.2790312621161874
director_Don Michael Paul,0.4696920118044919
director_Don Roos,0.3086902195970296
director_Don Scardino,0.16374538869613098
director_Don Siegel,0.2871152613379999
director_Don Taylor,0.21368926787198853
director_Donald Petrie,0.4454161183121157
director_Donald Shebib,0.286369813318446
director_Donna Deitch,0.28927967039769686
director_Donovan Marsh,0.14594378236309044
director_Doug Atchison,0.2024835611349688
director_Doug Ellin,0.08301621991314521
director_Doug Lefler,0.17310010427382164
director_Doug Liman,1.5773985301813238
director_Doug McHenry,0.1934421968451569
director_Douglas Aarniokoski,0.21767745260339724
director_Douglas Cheek,0.2769935329270237
director_Douglas Day Stewart,0.24545804346209044
director_Douglas McGrath,0.7512462547936685
director_Douglas Trumbull,0.2465997812324878
director_Drake Doremus,0.5732355705271424
director_Drew Barrymore,0.21347457727428612
director_Drew Goddard,0.1560910844969285
director_Drew Pearce,0.23046498724906092
director_Duke Johnson,0.2713747636732348
director_Duncan Gibbins,0.27253401680151385
director_Duncan Jones,0.7800445156171323
director_Duncan Tucker,0.22113808639396257
director_Dustin Hoffman,0.05445841494732395
director_Duwayne Dunham,0.20076728010596778
director_Dwight H. Little,0.6185584073469402
director_Dylan Brown,0.007600740552240203
director_E. Elias Merhige,0.2416625551632787
director_Ed Decter,0.14802651474061884
director_Ed Harris,0.4011729709630417
director_Eddie Mensore,0.302438986883758
director_Eddie Murphy,0.05115945499859388
director_Edgar Wright,0.0014299222530042568
director_Edward Burns,0.4958276559059477
director_Edward James Olmos,0.23163093493006298
director_Edward Norton,0.05340480392942958
director_Edward Zwick,0.17078579396159735
director_Elaine May,0.2250548882900528
director_Eli Roth,0.5734102096019519
director_Elizabeth Allen Rosenbaum,0.3477092455472335
director_Elizabeth Banks,0.9643189405043107
director_Ellory Elkayem,0.09379350547900464
director_Emile Ardolino,0.019030155733694373
director_Emilio Estevez,0.19406694142690353
director_Emir Kusturica,0.6060178224267989
director_Eric Blakeney,0.2847466436588857
director_Eric Bress,0.0011701805312704183
director_Eric Brevig,0.830005654633806
director_Eric Darnell,21.157599160434877
director_Eric Karson,0.20237509985643035
director_Eric Leighton,1.7338544826766453
director_Eric Red,0.5488481202561887
director_Eric Schaeffer,0.289692927758863
director_Eric Till,0.15439885145213122
director_Eric Valette,0.09385755483143314
director_Ericson Core,0.0028985920814358617
director_Erik Van Looy,0.2423707717175442
director_Ernest R. Dickerson,1.0856983740872275
director_Ernest Thompson,0.2695990719518846
director_Etan Cohen,0.04200095392616073
director_Ethan Coen,0.019990353882397126
director_Ethan Maniquis,0.09502609392319802
director_Eugene Levy,0.2548856614033368
director_Euzhan Palcy,0.2820041944078388
director_Evan Goldberg,0.06715265366153363
director_F. Gary Gray,4.237076624763618
director_F. Javier Gutiérrez,0.01157202994423362
director_Fabián Bielinsky,0.23510029044755676
director_Farhad Mann,0.2897557931260663
director_Fede Alvarez,0.003485908282964273
director_Felix van Groeningen,0.21374453843990973
director_Fenton Bailey,0.2991814746676793
director_Ferdinand Fairfax,0.29232212544256675
director_Fernando Meirelles,0.15461850643230962
director_Fina Torres,0.24673335768482113
director_Fisher Stevens,0.27464796630220994
director_Florent-Emilio Siri,0.01863125882745773
director_Floria Sigismondi,0.2768405264663251
director_Florian Henckel von Donnersmarck,0.31937723070617263
director_Floyd Mutrux,0.5495471910169435
director_Forest Whitaker,0.17625658517143372
director_Fran Rubel Kuzui,0.21380451676983273
director_Franc Roddam,0.2831861566416241
director_Francesca Gregorini,0.3037403043153521
director_Francine McDougall,0.21232920841954334
director_Francis Ford Coppola,0.6019558804013694
director_Francis Lawrence,28.585029187975376
director_Francis Veber,0.11185687048262936
director_Franck Khalfoun,0.5480142115754862
director_Franco Zeffirelli,0.22492125938281685
director_Frank Coraci,0.2983062350708961
director_Frank Darabont,4.4993595131322174e-05
director_Frank Henenlotter,0.30256440061177103
director_Frank LaLoggia,0.2938172015115502
director_Frank Marshall,0.018182327980301692
director_Frank Miller,0.04979996140599899
director_Frank Oz,0.22939875033809226
director_Frank Perry,0.20208091864821676
director_Franklin J. Schaffner,0.5826210839691303
director_Frant Gwo,10.170205007612768
director_François Girard,0.24766336327933694
director_Fraser C. Heston,0.23813344835775735
director_Fred Dekker,0.8252300490645608
director_Fred Schepisi,1.9711177670954687
director_Fred Walton,0.23234414771712528
director_Fred Wolf,0.23742685386764467
director_Fred Zinnemann,0.30259958667238945
director_Frederik Du Chau,0.12380782979550643
director_Fritz Kiersch,0.22407414597270284
director_Félix Enríquez Alcalá,0.2157643357247023
director_Gabor Csupo,0.03364769767530685
director_Gabriele Muccino,0.37322318384768405
director_Gail Mancuso,0.02153759923041392
director_Gareth Edwards,15.529979203884299
director_Gareth Evans,0.5186862365387417
director_Garry Marshall,0.0456783777828132
director_Garth Davis,0.04035047133143675
director_Garth Jennings,4.040920540750999
director_Gary Chapman,0.04905137212692596
director_Gary Dauberman,0.4672236845739477
director_Gary David Goldberg,0.20776445419809597
director_Gary Fleder,0.7002295041961265
director_Gary Goddard,0.21030378668870772
director_Gary Halvorson,0.2388996286258662
director_Gary McKendry,0.06069717342851604
director_Gary Nelson,0.2820902843691918
director_Gary Ross,2.7900890444000894
director_Gary Sherman,0.22637747238123154
director_Gary Shore,0.36978384614900883
director_Gary Sinyor,0.1253675659174646
director_Gary Trousdale,3.7353357213562948
director_Gary Winick,0.005394292789586274
director_Gaspar Noé,0.29922365421151315
director_Gavin Hood,0.15621121725307807
director_Gavin O'Connor,0.13737424291445222
director_Gene Quintano,0.16141381798993418
director_Gene Saks,0.23746698512876888
director_Gene Stupnitsky,0.0017375795903686218
director_Gene Wilder,0.4270477272342754
director_Genndy Tartakovsky,10.541063996174364
director_Geoff Burrowes,0.27837273582019206
director_Geoff Murphy,0.4287102741367879
director_Geoffrey Sax,0.004127403319305972
director_George A. Romero,1.6062744696965934
director_George Armitage,0.4196237627362371
director_George C. Wolfe,0.01013290115152073
director_George Clooney,0.2845270985937244
director_George Gallo,0.29934682778564503
director_George Hickenlooper,0.283106814435356
director_George Huang,0.6054323374190501
director_George Jackson,0.20013487535566452
director_George Lucas,48.09672782274612
director_George Miller,0.04462088642269035
director_George Nolfi,0.01730553194044501
director_George P. Cosmatos,0.04978562635519055
director_George Roy Hill,0.32594822650436667
director_George Scribner,0.024101940296229217
director_George Tillman Jr.,0.4730899080124673
director_Gerard McMurray,0.03261604985452858
director_Gil Junger,0.1820404827747375
director_Gil Kenan,0.02819090489394049
