name,genre,score,director,star,budget,gross
Lookin' to Get Out,Comedy,5.1,Hal Ashby,Jon Voight,17000000.0,946461.0
Barbarosa,Western,6.4,Fred Schepisi,Willie Nelson,11000000.0,1736123.0
Visiting Hours,Horror,5.7,Jean-Claude Lord,Michael Ironside,,13258670.0
A Little Sex,Comedy,4.9,Bruce Paltrow,Tim Matheson,,2370376.0
Class Reunion,Comedy,4.7,Michael Miller,Gerrit Graham,,10054150.0
Hanky Panky,Action,5.6,Sidney Poitier,Gene Wilder,,9823934.0
Author! Author!,Comedy,6.2,Arthur Hiller,Al Pacino,,13111101.0
Split Image,Drama,6.5,Ted Kotcheff,Michael O'Keefe,,263635.0
The Challenge,Action,6.3,John Frankenheimer,Scott Glenn,,2977706.0
The Soldier,Action,5.3,James Glickenhaus,Ken Wahl,4000000.0,6328816.0
Wrong Is Right,Comedy,5.7,Richard Brooks,Sean Connery,10000000.0,3583513.0
Six Weeks,Drama,5.7,Tony Bill,Dudley Moore,,6668025.0
The State of Things,Drama,7.0,Wim Wenders,Allen Garfield,,3700.0
Jekyll and Hyde... Together Again,Sci-Fi,6.2,Jerry Belson,Mark Blankfield,5000000.0,3792188.0
Forced Vengeance,Action,5.6,James Fargo,Chuck Norris,5000000.0,6660333.0
The Missionary,Comedy,6.2,Richard Loncraine,Michael Palin,,7241180.0
The Escape Artist,Comedy,6.2,Caleb Deschanel,Raul Julia,,143369.0
Night Crossing,Drama,6.5,Delbert Mann,John Hurt,10000000.0,8000000.0
Endangered Species,Drama,5.9,Alan Rudolph,Robert Urich,,1474249.0
Things Are Tough All Over,Action,6.0,Thomas K. Avildsen,Toni Attell,7000000.0,21134374.0
Homework,Comedy,3.5,James Beshears,Joan Collins,,2914328.0
Jinxed!,Comedy,4.7,Don Siegel,Bette Midler,13400000.0,2869638.0
The Return of Martin Guerre,Biography,7.4,Daniel Vigne,Gérard Depardieu,,3723036.0
They Call Me Bruce,Action,5.7,Elliott Hong,Johnny Yune,,16894678.0
Some Kind of Hero,Comedy,5.8,Michael Pressman,Richard Pryor,,23671186.0
Hammett,Crime,6.5,Wim Wenders,Frederic Forrest,,42914.0
Five Days One Summer,Drama,6.1,Fred Zinnemann,Sean Connery,15000000.0,199078.0
Penitentiary II,Crime,4.4,Jamaa Fanaka,Leon Isaac Kennedy,,3178542.0
If You Could See What I Hear,Biography,6.8,Eric Till,Marc Singer,,8693512.0
Partners,Comedy,5.3,James Burrows,Ryan O'Neal,6000000.0,6062898.0
Richard Pryor: Live on the Sunset Strip,Comedy,7.7,Joe Layton,Richard Pryor,,36299720.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Animation,7.1,Directors,Mel Blanc,,78350.0
Monsignor,Crime,5.1,Frank Perry,Christopher Reeve,,12408066.0
"Yes, Giorgio",Comedy,3.9,Franklin J. Schaffner,Luciano Pavarotti,19000000.0,2279543.0
I Ought to Be in Pictures,Comedy,6.2,Herbert Ross,Walter Matthau,,6968359.0
La traviata,Drama,7.2,Franco Zeffirelli,Teresa Stratas,,3783329.0
Fighting Back,Action,6.1,Lewis Teague,Tom Skerritt,,3355948.0
Kamikaze 89,Sci-Fi,5.8,Wolf Gremm,Rainer Werner Fassbinder,,22440.0
The Wizard of Oz,Animation,6.8,Fumihiko Takayama,Aileen Quinn,,
Heidi's Song,Animation,6.3,Robert Taylor,Lorne Greene,,5124391.0
