name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Diary of the Dead,Fantasy,5.6,George A. Romero,Shawn Roberts,Megan Park,5540941.0,2000000.0
Mongol: The Rise of Genghis Khan,Action,7.2,Sergei Bodrov,Khulan Chuluun,Tadanobu Asano,26527510.0,20000000.0
The Life Before Her Eyes,Drama,6.3,Vadim Perelman,Lynn Cohen,Eva Amurri Martino,7248490.0,8000000.0
Nancy Drew,Comedy,5.9,Andrew Fleming,Laura Harring,Kay Panabaker,30666930.0,20000000.0
In the Land of Women,Comedy,6.4,Jonathan Kasdan,Elena Anaya,Kristen Stewart,17562071.0,10000000.0
Rendition,Drama,6.8,Gavin Hood,Jake Gyllenhaal,J.K. Simmons,27066382.0,27500000.0
License to Wed,Comedy,5.3,Ken Kwapis,Christine Taylor,Robin Williams,70181325.0,35000000.0
88 Minutes,Crime,5.9,Jon Avnet,Alicia Witt,Al Pacino,32593385.0,30000000.0
Stomp the Yard,Drama,5.4,Sylvain White,Laz Alonso,Chris Brown,75511123.0,14000000.0
The Hunting Party,Adventure,6.8,Richard Shepard,Zan Marolt,James Brolin,7674033.0,25000000.0
Things We Lost in the Fire,Drama,7.2,Susanne Bier,Omar Benson Miller,Alison Lohman,8591255.0,16000000.0
The Dark Knight,Action,9.0,Christopher Nolan,Heath Ledger,Christian Bale,1005973645.0,185000000.0
Iron Man,Action,7.9,Jon Favreau,Jeff Bridges,Robert Downey Jr.,585796247.0,140000000.0
The Incredible Hulk,Action,6.7,Louis Leterrier,Peter Mensah,Ty Burrell,264770996.0,150000000.0
Kung Fu Panda,Animation,7.6,Mark Osborne,Wayne Knight,Angelina Jolie Pitt,631746197.0,130000000.0
Tropic Thunder,Action,7.0,Ben Stiller,Steve Coogan,Robert Downey Jr.,195702963.0,92000000.0
Step Brothers,Comedy,6.9,Adam McKay,Adam Scott,Will Ferrell,128108211.0,65000000.0
Quantum of Solace,Action,6.6,Marc Forster,Mathieu Amalric,Giancarlo Giannini,589580482.0,200000000.0
Mamma Mia!,Comedy,6.4,Phyllida Lloyd,Meryl Streep,Colin Firth,611257819.0,52000000.0
Indiana Jones and the Kingdom of the Crystal Skull,Action,6.1,Steven Spielberg,Ray Winstone,Harrison Ford,790653942.0,185000000.0
Taken,Action,7.8,Pierre Morel,Holly Valance,Liam Neeson,226837760.0,25000000.0
The Curious Case of Benjamin Button,Drama,7.8,David Fincher,Jason Flemyng,Brad Pitt,335802786.0,150000000.0
